site_name;site_code;tree_species;year;N_troughfall;NO3_leaching;rainfall;C_N;country_code;country
Riehen Mittelberg;1004;Buche       ;2003;21.43095571;3.488936027;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2004;21.12872429;2.460830587;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2005;20.82649286;0.593950259;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2006;20.52426143;1.315650669;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2007;20.22203;0.485461799;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2008;19.80829667;1.621530941;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2009;19.39456333;1.324976179;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2010;18.98083;0.941793483;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2011;18.883886;0.230767194;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2012;18.786942;0.147152539;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2013;18.689998;0.91699196;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2014;18.593054;3.604827238;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2015;18.49611;16.14659772;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2016;18.49611;8.112425597;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2017;18.49611;2.689959964;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2018;18.49611;0.816012523;1027.1;1.13369556;CH;Switzerland
Riehen Mittelberg;1004;Buche       ;2019;18.49611;0.742164486;1027.1;1.13369556;CH;Switzerland
Allschwil;1009;Fichte      ;2007;26.43619351;65.68214599;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2008;26.35177024;46.24696972;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2009;26.26734698;38.49604353;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2010;26.18292372;84.26811018;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2011;26.062704;85.89144382;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2012;25.94248428;147.2640711;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2013;25.82226457;105.5836359;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2014;25.70204485;35.23903333;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2015;25.58182513;17.25698557;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2016;25.58182513;18.72213038;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2017;25.58182513;9.142112672;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2018;25.58182513;12.44004355;915.09;1.12530327;CH;Switzerland
Allschwil;1009;Fichte      ;2019;25.58182513;4.979836679;915.09;1.12530327;CH;Switzerland
Muttenz unten;1012;Buche       ;2005;23.13317714;0.197415185;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2006;22.79860857;0.558885609;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2007;22.46404;0.469784034;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2008;22.13541;0.680347922;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2009;21.80678;0.534177957;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2010;21.47815;0.518724775;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2011;21.419502;0.212038504;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2012;21.360854;0.151006906;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2013;21.302206;2.852335367;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2014;21.243558;2.171063527;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2015;21.18491;0.387909143;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2016;21.18491;9.494331774;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2017;21.18491;1.540054496;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2018;21.18491;0.109308621;985.7392;1.323437416;CH;Switzerland
Muttenz unten;1012;Buche       ;2019;21.18491;0.018939181;985.7392;1.323437416;CH;Switzerland
Pratteln;1014;Buche       ;2003;25.5543;12.79042436;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2004;25.32845;14.38095686;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2005;25.1026;5.361120932;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2006;24.87675;4.518772845;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2007;24.6509;0.387016448;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2008;26.04769;0.039214545;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2009;27.44448;0.121760303;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2010;28.84127;0.158619151;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2011;28.275324;1.067889564;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2012;27.709378;0.078869446;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2013;27.143432;0.138221065;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2014;26.577486;0.046677693;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2015;26.01154;0.047764918;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2016;26.01154;0.136231775;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2017;26.01154;0.250546809;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2018;26.01154;0.039992391;1005.81;1.056687648;CH;Switzerland
Pratteln;1014;Buche       ;2019;26.01154;2.219148332;1005.81;1.056687648;CH;Switzerland
Rünenberg;1023;Buche       ;2003;26.45206561;3.187405936;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2004;26.10546026;0.853772723;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2005;25.7588549;0.371897455;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2006;25.41224954;0.236721125;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2007;25.06564419;0.132323881;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2008;24.26003575;0.039058518;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2009;23.45442732;0.033683126;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2010;22.64881888;2.267739159;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2011;22.31764608;0.328081513;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2012;21.98647327;0.079461137;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2013;21.65530047;0.063884811;1075.58;1.395054681;CH;Switzerland
Rünenberg;1023;Buche       ;2014;21.32412766;0.054202806;1075.58;1.395054681;CH;Switzerland
